Sample_Size,Evaluation_Time
10000.0,245.631443745
10000.0,254.471808519
10000.0,247.427398222
10000.0,260.660056568
10000.0,250.505651637
10000.0,249.143976856
10000.0,257.502752197
10000.0,255.709403634
10000.0,256.723668455
10000.0,257.099031736
